geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037186403,186403,2022,826,88949.078,85446
1400000US06037186404,186404,2022,834,77003.633,73971
1400000US06037187101,187101,2022,1338,97367.633,93533
1400000US06037187102,187102,2022,1656,73484.023,70590
1400000US06037187200,187200,2022,1104,85882.305,82500
1400000US06037187300,187300,2022,1727,115810.98,111250
1400000US06037188100,188100,2022,1992,84478,81151
1400000US06037188201,188201,2022,1935,112491.24,108061
1400000US06037188202,188202,2022,1335,176723.92,169764
1400000US06037188300,188300,2022,1458,130147.6,125022
1400000US06037189101,189101,2022,1451,100567.66,96607
1400000US06037189102,189102,2022,2044,118822.59,114143
1400000US06037189201,189201,2022,1977,70760.773,67974
1400000US06037189202,189202,2022,1495,151378.75,145417
1400000US06037189300,189300,2022,1543,183063.59,175854
1400000US06037189400,189400,2022,2075,140824.08,135278
1400000US06037189501,189501,2022,1731,80233.852,77074
1400000US06037189502,189502,2022,1497,57058.121,54811
1400000US06037189600,189600,2022,2335,85826.086,82446
1400000US06037189702,189702,2022,1727,93384.773,89707
1400000US06037189703,189703,2022,1236,99314.297,95403
1400000US06037189704,189704,2022,1431,139644.63,134145
1400000US06037189801,189801,2022,1666,66891.383,64257
1400000US06037189802,189802,2022,1170,82742.656,79484
1400000US06037189903,189903,2022,1736,106110.97,101932
1400000US06037189904,189904,2022,1635,67894.906,65221
1400000US06037189905,189905,2022,1521,83546.305,80256
1400000US06037189906,189906,2022,1593,100630.12,96667
1400000US06037189907,189907,2022,1524,91601.547,87994
1400000US06037190101,190101,2022,1551,58156.371,55866
1400000US06037190102,190102,2022,1727,79154.336,76037
1400000US06037190201,190201,2022,1762,36045.582,34626
1400000US06037190202,190202,2022,2788,47630.844,45755
1400000US06037190302,190302,2022,1390,65109.195,62545
1400000US06037190303,190303,2022,1789,36744.094,35297
1400000US06037190401,190401,2022,1852,66652.992,64028
1400000US06037190402,190402,2022,1321,62559.793,60096
1400000US06037190510,190510,2022,2158,60492.371,58110
1400000US06037190520,190520,2022,1657,53820.617,51701
1400000US06037190701,190701,2022,1109,50387.406,48403
1400000US06037190702,190702,2022,909,74040.953,71125
1400000US06037190801,190801,2022,1513,53247.027,51150
1400000US06037190802,190802,2022,1752,73502.758,70608
1400000US06037190901,190901,2022,1584,42941.152,41250
1400000US06037190902,190902,2022,1823,66921.57,64286
1400000US06037191000,191000,2022,4441,66168.93,63563
1400000US06037191110,191110,2022,1224,48833.199,46910
1400000US06037191120,191120,2022,1707,48332.477,46429
1400000US06037191201,191201,2022,1907,43687.547,41967
1400000US06037191203,191203,2022,1128,48098.254,46204
1400000US06037191204,191204,2022,853,61728.035,59297
1400000US06037191301,191301,2022,1024,72523.18,69667
1400000US06037191302,191302,2022,1046,61749.895,59318
1400000US06037191410,191410,2022,1512,52224.77,50168
1400000US06037191420,191420,2022,1175,76947.422,73917
1400000US06037191500,191500,2022,1940,64867.684,62313
1400000US06037191610,191610,2022,1518,50469.645,48482
1400000US06037191620,191620,2022,1090,54178.719,52045
1400000US06037191710,191710,2022,1473,29928.682,28750
1400000US06037191720,191720,2022,1514,41093.379,39475
1400000US06037191810,191810,2022,1277,58286.496,55991
1400000US06037191820,191820,2022,2073,74265.813,71341
1400000US06037191901,191901,2022,2530,67161,64516
1400000US06037191902,191902,2022,1731,92199.078,88568
1400000US06037192001,192001,2022,1352,97443.625,93606
1400000US06037192002,192002,2022,1481,116071.23,111500
1400000US06037192300,192300,2022,1776,95837.359,92063
1400000US06037192410,192410,2022,2025,115810.98,111250
1400000US06037192420,192420,2022,1476,64467.941,61929
1400000US06037192510,192510,2022,1290,65544.336,62963
1400000US06037192520,192520,2022,1784,64241.004,61711
1400000US06037192610,192610,2022,1689,48985.184,47056
1400000US06037192620,192620,2022,1281,51399.258,49375
1400000US06037192700,192700,2022,1352,57020.645,54775
1400000US06037194101,194101,2022,2082,105029.38,100893
1400000US06037194102,194102,2022,1682,133161.3,127917
1400000US06037194200,194200,2022,1978,175742.25,168821
1400000US06037194300,194300,2022,1733,258347.5,248173
1400000US06037194401,194401,2022,1565,104343.35,100234
1400000US06037194402,194402,2022,2316,112749.41,108309
1400000US06037194500,194500,2022,1160,124671.95,119762
1400000US06037195100,195100,2022,2382,167396.58,160804
1400000US06037195201,195201,2022,1654,113292.81,108831
1400000US06037195202,195202,2022,1505,159831.66,153537
1400000US06037195300,195300,2022,1630,100245.98,96298
1400000US06037195400,195400,2022,2452,114562.83,110051
1400000US06037195500,195500,2022,2545,121604.13,116815
1400000US06037195600,195600,2022,1305,64377.375,61842
1400000US06037195710,195710,2022,1543,69247.164,66520
1400000US06037195720,195720,2022,1008,72947.906,70075
1400000US06037195802,195802,2022,1116,80381.672,77216
1400000US06037195803,195803,2022,1198,89872.445,86333
1400000US06037195804,195804,2022,1204,69391.859,66659
1400000US06037195901,195901,2022,1253,90022.352,86477
1400000US06037195902,195902,2022,1154,132727.19,127500
1400000US06037195903,195903,2022,948,92388.539,88750
1400000US06037197200,197200,2022,1227,76393.609,73385
1400000US06037197300,197300,2022,1936,107266.48,103042
1400000US06037197410,197410,2022,1890,98472.125,94594
1400000US06037197420,197420,2022,1655,90696.914,87125
1400000US06037197500,197500,2022,1809,86380.938,82979
1400000US06037197600,197600,2022,902,98081.75,94219
1400000US06037197700,197700,2022,2178,65658.844,63073
1400000US06037199001,199001,2022,802,54400.453,52258
1400000US06037199002,199002,2022,1121,70037.281,67279
1400000US06037199110,199110,2022,811,76773.57,73750
1400000US06037199120,199120,2022,1140,48591.688,46678
1400000US06037199201,199201,2022,1217,56937.363,54695
1400000US06037199202,199202,2022,939,93039.164,89375
1400000US06037199300,199300,2022,1327,103449.14,99375
